time [s],a_c [km],e_c [-],i_c [deg],RAAN_c [deg],ARGP_c [deg],TA_c [deg],a_d [km],e_d [-],i_d [deg],RAAN_d [deg],ARGP_d [deg],TA_d [deg],delta_a [km],delta_e [-],delta_i [deg],delta_RAAN [deg],delta_ARGP [deg],delta_TA [deg]
0.0,8499.999999999993,0.19999999999999943,53.00000000000001,55.000000000000014,40.000000000000014,0.0,8500.999999999996,0.20099999999999985,53.1,55.10000000000001,40.00000000000001,0.0,-1.000000000003638,-0.0010000000000004172,-0.09999999999999432,-0.09999999999999432,7.105427357601002e-15,0.0
1.0,8499.999999999995,0.19999999999999968,53.0,55.000000000000014,40.00000000000003,0.070667338908781,8500.999999999996,0.20099999999999993,53.10000000000001,55.10000000000001,40.000000000000014,0.0708170438344558,-1.000000000001819,-0.0010000000000002507,-0.10000000000000853,-0.09999999999999432,1.4210854715202004e-14,-0.0001497049256748012
2.0,8499.999999999995,0.19999999999999976,53.0,55.000000000000014,40.00000000000003,0.14133464197266857,8501.000000007827,0.20100000000073562,53.099999999988185,55.09999999998756,40.00000000002478,0.1416340514355549,-1.0000000078325684,-0.0010000000007358567,-0.0999999999881851,-0.0999999999875456,-2.474820348652429e-11,-0.00029940946288634085
3.0,8499.99999999999,0.19999999999999965,53.0,55.00000000000001,40.00000000000002,0.21200187337059828,8501.000000011734,0.20100000000110332,53.09999999998228,55.09999999998133,40.00000000003725,0.21245098662287898,-1.0000000117433956,-0.0010000000011036736,-0.09999999998228049,-0.09999999998132125,-3.722533392647165e-11,-0.0004491132522806973
4.0,8499.999999999995,0.19999999999999954,53.00000000000001,55.00000000000001,40.000000000000064,0.2826689972750101,8501.000000014352,0.20100000000134877,53.09999999997835,55.09999999997716,40.000000000045574,0.2832678131752094,-1.0000000143572834,-0.0010000000013492272,-0.09999999997834408,-0.09999999997715037,-4.551026222543442e-11,-0.0005988159001992788
5.0,8499.999999999996,0.19999999999999973,53.0,55.00000000000001,40.00000000000003,0.35333597784318543,8501.000000016307,0.2010000000015328,53.09999999997541,55.09999999997404,40.00000000005183,0.3540844948891266,-1.000000016310878,-0.00100000000153308,-0.09999999997540954,-0.09999999997403108,-5.1798565436911304e-11,-0.0007485170459411439
6.0,8499.999999999998,0.19999999999999968,53.0,55.00000000000001,40.0000000000001,0.42400277925139107,8501.000000017875,0.20100000000167986,53.09999999997305,55.09999999997153,40.0000000000569,0.424900995545315,-1.0000000178770279,-0.0010000000016801847,-0.09999999997305054,-0.09999999997152287,-5.680078629666241e-11,-0.000898216293923948
7.0,8499.999999999993,0.1999999999999995,53.0,55.00000000000001,40.000000000000085,0.49466936566123876,8501.000000019185,0.2010000000018027,53.099999999971104,55.09999999996945,40.00000000006113,0.49571727893589085,-1.0000000191921572,-0.0010000000018031974,-0.09999999997110365,-0.09999999996944098,-6.104272642915021e-11,-0.0010479132746520903
8.0,8499.99999999999,0.1999999999999996,53.0,55.000000000000014,40.00000000000012,0.5653357012446203,8501.000000020305,0.201000000001908,53.09999999996942,55.09999999996765,40.00000000006474,0.5665333088523961,-1.0000000203144737,-0.0010000000019084188,-0.09999999996941966,-0.0999999999676362,-6.461675639002351e-11,-0.0011976076077757636
9.0,8499.999999999993,0.1999999999999996,53.0,55.000000000000014,40.000000000000114,0.636001750173521,8501.000000021286,0.20100000000200013,53.099999999967956,55.09999999996609,40.00000000006797,0.6373490490884959,-1.00000002129309,-0.0010000000020005395,-0.09999999996795594,-0.099999999966073,-6.785683126508957e-11,-0.0013472989149748704
10.0,8499.999999999993,0.1999999999999994,53.0,54.99999999999999,40.00000000000014,0.7066674766188966,8501.000000022155,0.20100000000208182,53.099999999966656,55.09999999996469,40.00000000007079,0.7081644634362816,-1.000000022162567,-0.0010000000020824185,-0.09999999996665565,-0.09999999996469455,-7.064926421662676e-11,-0.001496986817384971
11.0,8499.999999999995,0.1999999999999997,53.0,55.00000000000001,40.00000000000016,0.77733284475519,8501.00000002294,0.20100000000215523,53.09999999996548,55.099999999963416,40.00000000007339,0.7789795156924101,-1.0000000229447323,-0.0010000000021555266,-0.09999999996548325,-0.09999999996340847,-7.322853434743593e-11,-0.0016466709372200405
12.0,8499.999999999995,0.19999999999999954,53.0,54.99999999999999,40.00000000000016,0.8479978187573125,8501.000000023649,0.20100000000222215,53.09999999996442,55.09999999996227,40.000000000075765,0.8497941696520467,-1.0000000236541382,-0.0010000000022226119,-0.09999999996441744,-0.09999999996227871,-7.560174708487466e-11,-0.0017963508947341777
13.0,8499.99999999999,0.1999999999999994,53.0,54.99999999999999,40.00000000000014,0.9186623628004944,8501.000000024307,0.20100000000228357,53.09999999996344,55.09999999996121,40.0000000000779,0.9206083891149927,-1.0000000243162503,-0.0010000000022841737,-0.09999999996343689,-0.09999999996122,-7.775469157422776e-11,-0.0019460263144982504
14.0,8499.99999999999,0.19999999999999937,53.0,55.00000000000001,40.00000000000019,0.9893264410645193,8501.000000024906,0.20100000000234008,53.099999999962535,55.09999999996025,40.000000000079964,0.9914221378806277,-1.0000000249146979,-0.0010000000023407118,-0.0999999999625345,-0.09999999996023945,-7.977263294378645e-11,-0.002095696816108439
15.0,8499.999999999995,0.1999999999999994,53.0,54.99999999999999,40.000000000000206,1.059990017729634,8501.000000025466,0.20100000000239288,53.09999999996171,55.09999999995934,40.00000000008183,1.0622353797519837,-1.0000000254713086,-0.0010000000023934752,-0.09999999996171027,-0.09999999995934417,-8.162714948412031e-11,-0.002245362022349706
16.0,8499.99999999999,0.19999999999999932,53.0,54.99999999999999,40.00000000000023,1.1306530569790632,8501.000000025986,0.20100000000244173,53.09999999996092,55.09999999995849,40.000000000083645,1.1330480785336965,-1.0000000259951776,-0.0010000000024424083,-0.09999999996092157,-0.09999999995849862,-8.341771717823576e-11,-0.0023950215546333364
17.0,8499.99999999999,0.19999999999999923,53.0,55.00000000000001,40.00000000000024,1.2013155229966057,8501.000000026475,0.20100000000248786,53.0999999999602,55.09999999995768,40.00000000008526,1.2038601980324122,-1.0000000264844857,-0.0010000000024886213,-0.09999999996019682,-0.09999999995767439,-8.501643833369599e-11,-0.002544675035806465
18.0,8499.999999999995,0.1999999999999994,53.0,55.00000000000001,40.000000000000256,1.2719773799709704,8501.000000026934,0.2010000000025314,53.099999999959515,55.099999999956935,40.000000000086835,1.274671702058406,-1.000000026939233,-0.0010000000025320033,-0.0999999999595147,-0.09999999995692832,-8.657963235236821e-11,-0.0026943220874355855
19.0,8499.99999999999,0.19999999999999918,53.0,55.00000000000001,40.00000000000027,1.3426385920916104,8501.00000002738,0.20100000000257204,53.099999999958875,55.099999999956225,40.00000000008833,1.3454825544230917,-1.0000000273885234,-0.0010000000025728595,-0.09999999995887521,-0.09999999995621778,-8.805756124274922e-11,-0.00284396233148132
20.0,8499.999999999989,0.19999999999999934,53.0,54.99999999999999,40.00000000000027,1.4132991235516668,8501.000000027787,0.20100000000261095,53.09999999995827,55.09999999995555,40.00000000008974,1.4162927189410675,-1.000000027797796,-0.0010000000026116063,-0.09999999995827125,-0.09999999995555697,-8.947154128691182e-11,-0.002993595389400694
21.0,8499.999999999996,0.19999999999999937,53.0,54.99999999999999,40.00000000000035,1.4839589385468084,8501.000000028183,0.20100000000264764,53.09999999995768,55.09999999995491,40.00000000009109,1.4871021594312614,-1.0000000281870598,-0.0010000000026482714,-0.0999999999576815,-0.09999999995491748,-9.07434127839224e-11,-0.0031432208844530685
22.0,8499.999999999996,0.1999999999999995,52.999999999999986,54.99999999999999,40.00000000000031,1.5546180012764352,8501.000000028556,0.2010000000026829,53.099999999957134,55.0999999999543,40.00000000009236,1.5579108397146577,-1.0000000285599526,-0.0010000000026833822,-0.09999999995714859,-0.09999999995430642,-9.205081141772098e-11,-0.0032928384382224785
23.0,8499.999999999995,0.1999999999999994,52.999999999999986,54.99999999999999,40.00000000000031,1.6252762759418147,8501.00000002891,0.2010000000027163,53.099999999956594,55.0999999999537,40.00000000009359,1.6287187236154619,-1.0000000289146556,-0.001000000002716911,-0.09999999995660858,-0.09999999995370956,-9.328005035058595e-11,-0.0034424476736472087
24.0,8499.999999999998,0.19999999999999943,52.999999999999986,54.99999999999999,40.00000000000036,1.6959337267495647,8501.000000029258,0.2010000000027485,53.0999999999561,55.09999999995315,40.000000000094786,1.6995257749612713,-1.0000000292602635,-0.0010000000027490796,-0.0999999999561112,-0.09999999995315534,-9.442402415515971e-11,-0.0035920482117066665
