time [s],ax [km/s^2],ay [km/s^2],az [km/s^2],dvx [km/s],dvy [km/s],dvz [km/s],sum_dvx [km/s],sum_dvy [km/s],sum_dvz [km/s]
83.0,-4.6784639954485826e-14,4.3268429685000423e-16,0.0,-4.6784639954485826e-14,4.3268429685000423e-16,0.0,-1.7312523250141306e-11,3.2368362108732457e-14,0.0
84.0,-4.687251076444269e-14,4.3869570339252304e-16,0.0,-4.687251076444269e-14,4.3869570339252304e-16,0.0,-1.735939576090575e-11,3.280705781212498e-14,0.0
85.0,-4.7029784612372384e-14,4.453829989598798e-16,0.0,-4.7029784612372384e-14,4.453829989598798e-16,0.0,-1.7406425545518123e-11,3.3252440811084865e-14,0.0
86.0,-4.726099121472485e-14,4.528126534542069e-16,0.0,-4.726099121472485e-14,4.528126534542069e-16,0.0,-1.745368653673285e-11,3.370525346453907e-14,0.0
87.0,-4.75710342982698e-14,4.610567623122163e-16,0.0,-4.75710342982698e-14,4.610567623122163e-16,0.0,-1.750125757103112e-11,3.416631022685129e-14,0.0
88.0,-4.796521139526656e-14,4.701934468344747e-16,0.0,-4.796521139526656e-14,4.701934468344747e-16,0.0,-1.7549222782426387e-11,3.4636503673685764e-14,0.0
89.0,-4.844923465785824e-14,4.803072776370776e-16,0.0,-4.844923465785824e-14,4.803072776370776e-16,0.0,-1.7597672017084245e-11,3.5116810951322845e-14,0.0
90.0,-4.902925271693991e-14,4.91489722247335e-16,0.0,-4.902925271693991e-14,4.91489722247335e-16,0.0,-1.7646701269801184e-11,3.560830067357018e-14,0.0
91.0,-4.9711873612620305e-14,5.038396179771176e-16,0.0,-4.9711873612620305e-14,5.038396179771176e-16,0.0,-1.7696413143413804e-11,3.61121402915473e-14,0.0
92.0,-5.050418882085849e-14,5.174636710917579e-16,0.0,-5.050418882085849e-14,5.174636710917579e-16,0.0,-1.774691733223466e-11,3.6629603962639055e-14,0.0
93.0,-5.1413798405924146e-14,5.324769834252265e-16,0.0,-5.1413798405924146e-14,5.324769834252265e-16,0.0,-1.7798331130640585e-11,3.716208094606428e-14,0.0
94.0,-5.2448837326975835e-14,5.490036076599875e-16,0.0,-5.2448837326975835e-14,5.490036076599875e-16,0.0,-1.785077996796756e-11,3.771108455372427e-14,0.0
95.0,-5.361800292735293e-14,5.671771323399144e-16,0.0,-5.361800292735293e-14,5.671771323399144e-16,0.0,-1.7904397970894913e-11,3.827826168606418e-14,0.0
96.0,-5.4930583637592505e-14,5.871412979450568e-16,0.0,-5.4930583637592505e-14,5.871412979450568e-16,0.0,-1.7959328554532507e-11,3.886540298400924e-14,0.0
97.0,-5.6396488923540066e-14,6.090506452595635e-16,0.0,-5.6396488923540066e-14,6.090506452595635e-16,0.0,-1.8015725043456047e-11,3.9474453629268804e-14,0.0
98.0,-5.802628051042147e-14,6.330711972918312e-16,0.0,-5.802628051042147e-14,6.330711972918312e-16,0.0,-1.807375132396647e-11,4.0107524826560634e-14,0.0
99.0,-5.983120491737005e-14,6.593811761710601e-16,0.0,-5.983120491737005e-14,6.593811761710601e-16,0.0,-1.8133582528883838e-11,4.0766906002731694e-14,0.0
100.0,-6.182322733262746e-14,6.881717562081116e-16,0.0,-6.182322733262746e-14,6.881717562081116e-16,0.0,-1.8195405756216464e-11,4.1455077758939806e-14,0.0
101.0,-6.401506686716429e-14,7.196478547634639e-16,0.0,-6.401506686716429e-14,7.196478547634639e-16,0.0,-1.8259420823083627e-11,4.217472561370327e-14,0.0
102.0,-6.642023321847652e-14,7.540289621531197e-16,0.0,-6.642023321847652e-14,7.540289621531197e-16,0.0,-1.8325841056302103e-11,4.292875457585639e-14,0.0
103.0,-6.90530647812282e-14,7.915500121484936e-16,0.0,-6.90530647812282e-14,7.915500121484936e-16,0.0,-1.839489412108333e-11,4.372030458800489e-14,0.0
