time,chief_r_x,chief_r_y,chief_r_z,chief_v_x,chief_v_y,chief_v_z,deputy_r_x,deputy_r_y,deputy_r_z,deputy_v_x,deputy_v_y,deputy_v_z,deputy_rho_x,deputy_rho_y,deputy_rho_z,deputy_rho_dot_x,deputy_rho_dot_y,deputy_rho_dot_z
0.0,833.0332339479625,5775.843462157093,3490.8004714958083,-6.259454270915932,-2.198327529525844,5.131066432870966,827.01370439612,5767.261608296864,3491.4277279656058,-6.254403777458592,-2.216554090430655,5.142860269286404,-7.704747867748461,7.125719418835061,0.3706554211053016,-1.9619683475510644e-05,0.017726285848631573,0.018750956364137525
1.0,826.7732529881515,5773.641474120237,3495.9293242288595,-6.260506326026696,-2.20564807848548,5.126637949885227,820.7587759636325,5765.041386696236,3496.568366595526,-6.255451761404161,-2.2238886396693776,5.1384159010232064,-7.7047612611916385,7.143446611631941,0.38940613775732164,-7.167199510016778e-06,0.017728094558335517,0.01875047296468841
2.0,820.5122239416216,5771.432166934,3501.0537452303843,-6.261550444001415,-2.212965825815028,5.122202971317368,814.5028035258889,5762.8138319623295,3501.7045575901,-6.256491787618101,-2.231220354497239,5.133965000106659,-7.7047622021499,7.161175597579006,0.4081563590834832,5.285279318761535e-06,0.017729872148867037,0.01874996571276021
3.0,814.2501547465611,5769.215543407429,3506.1737280093034,-6.262586622740428,-2.2202807566783767,5.117761506177627,808.2457950416768,5760.578946937027,3506.836294421218,-6.257523853992921,-2.238549219971312,5.12950757562723,-7.704750690649118,7.1789063455537745,0.4269060612336319,1.773771030225829e-05,0.01773161861287058,0.018749434612828995
4.0,807.9870533432437,5766.991606364407,3511.2892660835596,-6.2636148601722645,-2.227592856249485,5.113313563499222,801.9877584718743,5758.336734477149,3511.9635705698715,-6.2585479584559085,-2.245875221158924,5.125043636698654,-7.70472672675969,7.196638824428592,0.4456552203602275,3.0190049960866425e-05,0.017733333947875067,0.018748879665316992
5.0,801.7229276740006,5764.7603586436335,3516.4003529801407,-6.264635154253656,-2.2349021097124715,5.1088591523382965,795.7287017794179,5756.087197454445,3517.0863795261776,-6.259564098961951,-2.2531983431377474,5.120573192457871,-7.704690310594319,7.214373003072235,0.46440381261536,4.26422549205871e-05,0.01773501815092324,0.018748300871296572
6.0,795.4577856831921,5762.521803098621,3521.5069822351015,-6.26564750296955,-2.2422085022617035,5.104398281773864,789.4686329292755,5753.830338755581,3522.2047147894027,-6.26057227349424,-2.260518570995892,5.116096252064976,-7.704641442309607,7.2321088503520095,0.48315181415428116,5.509428183132423e-05,0.017736671219090346,0.018747698232035405
7.0,789.1916353171795,5760.27594259768,3526.6091473935876,-6.266651904333119,-2.249512019101886,5.099930960907752,783.2075598884173,5751.566161282128,3527.318569867984,-6.261572480064397,-2.2678358898319932,5.111612824703158,-7.704580122104634,7.249846335131033,0.5018992011314507,6.754608735198842e-05,0.017738293149566715,0.0187470717489266
8.0,782.9244845242966,5758.0227800239145,3531.7068420098576,-6.267648356385775,-2.2568126454481505,5.095457198864549,776.9454906257879,5749.294667950555,3532.4279382795544,-6.262564716712517,-2.275150284755303,5.107122919578649,-7.70450635022231,7.267585426270689,0.5206459497042659,7.999762814751843e-05,0.017739883939685702,0.018746421423464298
9.0,776.6563412548221,5755.762318275207,3536.800059647306,-6.26863685719718,-2.2641103665261437,5.090977004791549,770.6824331122773,5747.015861692215,3537.532813550963,-6.263548981507193,-2.28246174088578,5.102626545920663,-7.704420126950576,7.285326092629363,0.5393920360313982,9.244886088553145e-05,0.017741443586932575,0.018745747257234935
