time,chief_r_x,chief_r_y,chief_r_z,chief_v_x,chief_v_y,chief_v_z,deputy_r_x,deputy_r_y,deputy_r_z,deputy_v_x,deputy_v_y,deputy_v_z,deputy_rho_x,deputy_rho_y,deputy_rho_z,deputy_rho_dot_x,deputy_rho_dot_y,deputy_rho_dot_z
0.0,-7435.995813103378,669.0656688571963,3721.848389634706,-2.270932160459784,-6.327699878365603,-1.8628698167947195,-7434.24420815658,660.0920177351404,3720.580413626284,-2.2711163089575637,-6.331134556502394,-1.8597139278109889,-2.8467120338482603,8.227489408402764,3.0670745245139095,0.008143527594494044,0.004584931190550884,0.003898588533464388
1.0,-7438.264192567097,662.7377400431923,3719.9842424908957,-2.2658267172422355,-6.328157006857958,-1.8654241525769721,-7436.512809931743,653.7606178384895,3718.7193749865023,-2.2660871940799914,-6.331664492885116,-1.862363032284343,-2.838556236081786,8.232127604193497,3.07093269547476,0.008168116983162133,0.004691450757955842,0.003817753033121026
2.0,-7440.527466439052,656.4093563287398,3718.11754196621,-2.2607209775913066,-6.328609679572218,-1.867976578385999,-7438.776382142509,647.4286904625475,3716.8556883590963,-2.2610571808208393,-6.332189515390183,-1.8650099028864693,-2.830375888477762,8.236871960255266,3.0747101944511193,0.008192626967103413,0.004797251795124828,0.0037372445751923554
3.0,-7442.785634424784,650.0805221686874,3716.2482899711013,-2.2556149454535563,-6.329057898368096,-1.8705270932635185,-7441.034923893226,641.0962405199267,3714.9893559785964,-2.256026274638496,-6.332709626549123,-1.8676545382994723,-2.8221710709088974,8.241721758857828,3.07840734847491,0.008217056612716808,0.004902335902971682,0.0036570631377724244
4.0,-7445.038696233778,643.7512420160224,3714.3764884169786,-2.250508624772053,-6.329501665107832,-1.8730756962540138,-7443.2884342937,634.7632729207035,3713.1203800808457,-2.2509944809924534,-6.333224828901885,-1.870296937216483,-2.8139418641770906,8.246676283875917,3.082024484553081,0.008241404992784968,0.005006704690050894,0.003577208692524664
5.0,-7447.28665157946,637.4215203218689,3712.502139216206,-2.2454020194863733,-6.32994098165619,-1.875622386404729,-7445.5369124592,628.42979257241,3711.2487629029883,-2.2459618053432524,-6.333735124996783,-1.8729370983416227,-2.8056883500086465,8.251734820797045,3.0855619296600016,0.008265671186479015,0.005110359772480103,0.003497681204713432
6.0,-7449.529500179195,631.0913615354848,3710.625244282099,-2.2402951335326002,-6.330375849880445,-1.8781671627656673,-7447.780357510451,622.095804380026,3709.374506683459,-2.2409282531524277,-6.334240517390445,-1.8755750203899646,-2.797410611048025,8.256896656728113,3.089020010732487,0.008289854279363438,0.00521330277386346,0.003418480633237903
7.0,-7451.76724175428,624.7607701042596,3708.7458055289208,-2.2351879708433238,-6.330806271650383,-1.8807100243895878,-7450.018768573645,615.7613132459708,3707.4976136619716,-2.2358938298824547,-6.33474100864777,-1.8782107020874983,-2.789108730849585,8.26216108040363,3.092399054663268,0.008313953363400987,0.005315535325216803,0.0033396069306646002
8.0,-7453.999876029946,618.4297504737115,3706.8638248718808,-2.2300805353476383,-6.3312322488382895,-1.8832509703320026,-7452.252144780433,609.4263240700941,3705.618086079509,-2.2308585409966954,-6.335236601341873,-1.8808441421710917,-2.7807827938748972,8.267527382192323,3.0956993882946993,0.008337967536958207,0.005417059064890523,0.0032610600432586953
9.0,-7456.227402735349,612.0983070874854,3704.9793042271313,-2.224972830971143,-6.331653783318942,-1.8857899996511736,-7454.480485267933,603.0908417496689,3703.7359261783113,-2.225822391959344,-6.335727298054036,-1.883475339388455,-2.7724328854813565,8.272994854105223,3.098921338412176,0.008361895904807142,0.005517875638491666,0.0031828399110175537
10.0,-7458.449821603569,605.7664443873502,3703.0922455117657,-2.2198648616359407,-6.332070876969605,-1.88832711140811,-7456.703789178726,596.7548711793827,3701.8511362018658,-2.220785388235375,-6.336213101373659,-1.8861042924981024,-2.7640590919190458,8.278562789803049,3.1020652317368684,0.008385737578133256,0.0056179866988129625,0.0031049464677034245
11.0,-7460.667132371607,599.4341668131963,3701.2026506438146,-2.214756631260635,-6.332483531670022,-1.8908623046665656,-7458.922055660858,590.4184172513295,3699.9637183948957,-2.2157475352904887,-6.336694013898208,-1.8887310002693167,-2.755661500324717,8.284230484602112,3.105131394921764,0.008409491674536343,0.00571739390575293,0.003027379640874653
12.0,-7462.879334780382,593.1014788030329,3699.3105215422434,-2.2096481437603317,-6.332891749302405,-1.8933955784930352,-7461.135283867842,584.0814848550019,3698.07367500335,-2.210708838591058,-6.337170038233173,-1.891355461482111,-2.747240198713553,8.28999723548235,3.1081201545446673,0.008433157318034417,0.0058160989262447445,0.0029501393519197868
13.0,-7465.086428574724,586.768384792986,3697.4158601269496,-2.204539403046637,-6.333295531751434,-1.8959269319567527,-7463.343472958657,577.744078877283,3696.1810082743923,-2.205669303604076,-6.3376411769920065,-1.893977674927193,-2.738795275973859,8.295862341094226,3.1110318371007213,0.008456733639068749,0.005914103434177753,0.002873225516087994
14.0,-7467.288413503374,580.4348892172956,3695.5186683187603,-2.199430413027657,-6.333694880904242,-1.8984563641296872,-7465.54662209775,571.4062042024384,3694.2857204563893,-2.2006289357971043,-6.338107432796087,-1.8965976394059265,-2.730326821859561,8.301825101765543,3.1138667689975508,0.008480219774504891,0.0060114091103248375,0.0027966380425237278
15.0,-7469.485289318979,574.1009965083132,3693.618948039429,-2.1943211776079954,-6.334089798650416,-1.9009838740865408,-7467.744730455034,565.0678657121085,3692.387813798902,-2.195587740638218,-6.338568808274662,-1.899215353730296,-2.7218349269852826,8.307884819508244,3.1166252765490623,0.008503614867636431,0.0061080176422682935,0.0027203768342970386
16.0,-7471.67705577809,567.7667110964996,3691.716701211634,-2.1892117006887544,-6.334480286881981,-1.9035094609047454,-7469.937797205893,558.7290682853006,3690.487290552673,-2.190545723595956,-6.3390253060648,-1.901830816722869,-2.7133196828193316,8.314040798024987,3.11930768596918,0.00852691806818755,0.006203930724322158,0.002644441788435905
17.0,-7473.863712641156,561.4320374104226,3689.811929758973,-2.184101986167532,-6.334866347493402,-1.9060331236644596,-7472.125821531177,552.3898167983809,3688.5841529696186,-2.185502890139266,-6.339476928811344,-1.904444027216759,-2.704781181675897,8.320292342716572,3.1219143233654996,0.008550128532315444,0.006299150057462101,0.0025688327959598107
18.0,-7476.045259672523,555.096979876754,3687.9046356059634,-2.178992037938424,-6.335247982381568,-1.9085548614485668,-7474.308802617208,546.050116125067,3686.6784033028157,-2.180459245737456,-6.339923679166861,-1.9070549840555893,-2.696219516711027,8.326638760687425,3.1244455147347536,0.008573245422611578,0.006393677349249845,0.00249354974191119
