time,chief_r_x,chief_r_y,chief_r_z,chief_v_x,chief_v_y,chief_v_z,deputy_r_x,deputy_r_y,deputy_r_z,deputy_v_x,deputy_v_y,deputy_v_z,deputy_rho_x,deputy_rho_y,deputy_rho_z,deputy_rho_dot_x,deputy_rho_dot_y,deputy_rho_dot_z
0.0,6688.137000000006,0.0,0.0,0.0,7.671999999999998,0.0,6688.187000000006,0.1,0.0,-0.00011471056887740175,7.672057355284437,0.0,0.05,0.1,0.0,0.0,0.0,0.0
10.0,6687.691453909934,77.198109232727,0.0,-0.08855439026345915,7.671488911545466,0.0,6687.740296324762,77.29867969814254,0.0,-0.08866711015476308,7.67154628346146,0.0,0.05,0.1,0.0,2.660404486156738e-06,1.3138837860253865e-06,0.0
20.0,6686.354875001936,154.3859329956051,0.0,-0.17709698200594287,7.669955714276605,0.0,6686.4025796177475,154.4870742764091,0.0,-0.17720764900690156,7.670013050896556,0.0,0.05002660404486157,0.10001313883786025,0.0,5.411660581756542e-06,2.4901269670725486e-06,0.0
30.0,6684.127441354752,231.55318718916715,0.0,-0.2656159782784486,7.667400612468553,0.0,6684.174028587064,231.65489912472492,0.0,-0.2657245307416087,7.667457861128497,0.0,0.05008072065067913,0.10003804010753098,0.0,8.248852489457924e-06,3.524706342383903e-06,0.0
40.0,6681.009449739919,308.68959045452726,0.0,-0.3540995852757099,7.66382394654963,0.0,6681.054940628114,308.7918723661796,0.0,-0.3542059621220774,7.6638810538939035,0.0,0.05016320917557371,0.10007328717095482,0.0,1.1166934241419648e-05,4.413783850811299e-06,0.0
50.0,6677.0013155822335,385.78486554321495,0.0,-0.4425360139075413,7.6592261930559795,0.0,6677.0457317840355,385.8877162273069,0.0,-0.44264015463213124,7.659283105082784,0.0,0.050274878517987905,0.10011742500946293,0.0,1.4160733876809644e-05,5.1537110091921205e-06,0.0
60.0,6672.1035729044,462.82874068646146,0.0,-0.5309134813695545,7.653607964568085,0.0,6672.146936690284,462.9321584078256,0.0,-0.5310153260494309,7.65366462667584,0.0,0.050416485856756,0.10016896211955485,0.0,1.7224957693581193e-05,5.741033271267819e-06,0.0
70.0,6666.316874255879,539.8109509637563,0.0,-0.6192202127130371,7.646970009629146,0.0,6666.359208503405,539.9149334496574,0.0,-0.6193197020179181,7.647026366663565,0.0,0.050588735433691814,0.10022637245226754,0.0,2.035419457776856e-05,6.172494307178098e-06,0.0
80.0,6659.64199062595,616.7212396704913,0.0,-0.7074444424137849,7.639313212645349,0.0,6659.683318813978,616.8257841050395,0.0,-0.7075415176192819,7.639369208947156,0.0,0.0507922773794695,0.10028809739533932,0.0,2.3542920413735756e-05,6.445040203233777e-06,0.0
90.0,6652.079811340982,693.5493596845098,0.0,-0.7955744159396785,7.630638593768033,0.0,6652.120157543744,693.6544627035488,0.0,-0.795669018943231,7.630694173221242,0.0,0.051027706583606856,0.10035254779737166,0.0,2.6785502578972652e-05,6.555823581328025e-06,0.0
